date,season,game,age,team,opp,game-result,min-played,game-location,fg,fga,fg-pct,fg3,fg3a,fg3-pct,ft,fta,ft-pct,orb,drb,trb,ast,stl,blk,tov,pf,points,game-score,plus-minus,game-link
2013-10-30,2014,0,18.328,17,20,-7,4.717,0,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,1,2,1,-1.2,-3,https://www.basketball-reference.com/boxscores/201310300NYK.html
2013-11-01,2014,1,18.33,17,2,7,12.45,0,2,5,0.4,0,1,0.0,1,2,0.5,0,2,2,0,0,0,0,3,5,1.3,11,https://www.basketball-reference.com/boxscores/201311010BOS.html
2013-11-02,2014,2,18.331,17,28,-7,16.95,1,1,2,0.5,0,0,0.0,0,2,0.0,0,2,2,0,1,0,0,1,2,1.4,6,https://www.basketball-reference.com/boxscores/201311020MIL.html
2013-11-06,2014,3,18.335,17,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201311060MIL.html
2013-11-09,2014,4,18.338,17,7,-8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201311090MIL.html
2013-11-12,2014,5,18.341,17,16,-23,21.583,0,4,8,0.5,3,5,0.6,0,0,0.0,2,2,4,0,0,0,3,1,11,5.6,-1,https://www.basketball-reference.com/boxscores/201311120MIA.html
2013-11-13,2014,6,18.342,17,22,-3,19.45,0,1,2,0.5,0,1,0.0,4,4,1.0,1,1,2,1,2,0,1,0,6,7.7,-5,https://www.basketball-reference.com/boxscores/201311130ORL.html
2013-11-15,2014,7,18.344,17,12,-27,11.767,0,2,2,1.0,1,1,1.0,0,0,0.0,1,1,2,0,0,1,1,4,5,3.5,-18,https://www.basketball-reference.com/boxscores/201311150IND.html
2013-11-16,2014,8,18.345,17,21,-13,15.167,1,1,3,0.333,0,1,0.0,0,0,0.0,1,4,5,1,0,2,2,1,2,1.9,-5,https://www.basketball-reference.com/boxscores/201311160MIL.html
2013-11-20,2014,9,18.349,17,25,-9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201311200MIL.html
2013-11-22,2014,10,18.351,17,23,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201311220PHI.html
2013-11-23,2014,11,18.352,17,-1,-24,12.0,1,3,7,0.429,0,0,0.0,0,0,0.0,1,2,3,0,2,0,1,2,6,3.8,-1,https://www.basketball-reference.com/boxscores/201311230MIL.html
2013-11-25,2014,12,18.354,17,9,-19,12.0,0,2,6,0.333,0,0,0.0,2,2,1.0,1,3,4,0,0,0,0,2,6,3.4,7,https://www.basketball-reference.com/boxscores/201311250DET.html
2013-11-27,2014,13,18.356,17,30,-8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/boxscores/201311270MIL.html
2013-11-29,2014,14,18.358,17,-1,-16,13.417,0,2,3,0.667,0,1,0.0,0,1,0.0,0,2,2,1,1,1,0,3,4,4.1,-1,https://www.basketball-reference.com/boxscores/201311290CHA.html
2013-11-30,2014,15,18.359,17,2,7,27.75,1,4,6,0.667,2,3,0.667,0,2,0.0,1,6,7,4,0,1,2,0,10,10.6,16,https://www.basketball-reference.com/boxscores/201311300MIL.html
2013-12-03,2014,16,18.362,17,2,-8,15.433,0,2,4,0.5,0,0,0.0,0,0,0.0,1,2,3,1,0,1,2,1,4,2.3,-11,https://www.basketball-reference.com/boxscores/201312030BOS.html
2013-12-04,2014,17,18.363,17,9,-7,27.65,1,3,5,0.6,0,2,0.0,0,1,0.0,0,6,6,4,1,3,0,3,6,9.8,8,https://www.basketball-reference.com/boxscores/201312040MIL.html
2013-12-06,2014,18,19.0,17,30,4,19.583,0,3,6,0.5,0,2,0.0,0,1,0.0,2,2,4,1,0,1,1,2,6,4.2,-3,https://www.basketball-reference.com/boxscores/201312060WAS.html
2013-12-07,2014,19,19.001,17,3,-8,14.133,1,1,3,0.333,0,2,0.0,1,2,0.5,0,2,2,1,1,1,1,1,3,2.5,-1,https://www.basketball-reference.com/boxscores/201312070MIL.html
2013-12-10,2014,20,19.004,17,5,4,9.983,0,0,1,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,2,0,1,-2.1,-8,https://www.basketball-reference.com/boxscores/201312100CHI.html
2013-12-11,2014,21,19.005,17,27,-32,33.2,1,5,8,0.625,0,1,0.0,5,8,0.625,3,5,8,1,2,1,1,3,15,15.0,-5,https://www.basketball-reference.com/boxscores/201312110MIL.html
2013-12-13,2014,22,19.007,17,5,-1,23.85,1,2,4,0.5,0,0,0.0,4,4,1.0,4,5,9,1,0,0,0,2,8,10.2,1,https://www.basketball-reference.com/boxscores/201312130MIL.html
2013-12-14,2014,23,19.008,17,7,-13,34.767,0,3,9,0.333,0,1,0.0,7,8,0.875,2,7,9,4,0,1,0,2,13,13.7,0,https://www.basketball-reference.com/boxscores/201312140DAL.html
2013-12-18,2014,24,19.012,17,20,-6,41.767,1,2,3,0.667,0,0,0.0,6,7,0.857,1,6,7,2,2,1,3,6,10,9.5,-1,https://www.basketball-reference.com/boxscores/201312180MIL.html
2013-12-20,2014,25,19.014,17,6,-3,22.983,0,2,4,0.5,1,2,0.5,1,2,0.5,0,0,0,1,0,0,1,4,6,1.7,1,https://www.basketball-reference.com/boxscores/201312200CLE.html
2013-12-21,2014,26,19.015,17,23,10,34.733,1,3,7,0.429,0,0,0.0,6,6,1.0,2,5,7,3,0,2,2,0,12,12.7,11,https://www.basketball-reference.com/boxscores/201312210MIL.html
2013-12-23,2014,27,19.017,17,-1,-1,35.7,0,4,8,0.5,2,4,0.5,2,2,1.0,2,4,6,2,0,0,0,1,12,11.6,3,https://www.basketball-reference.com/boxscores/201312230CHA.html
2013-12-27,2014,28,19.021,17,3,-11,33.75,0,5,12,0.417,1,5,0.2,5,6,0.833,2,8,10,1,0,3,1,3,16,13.6,12,https://www.basketball-reference.com/boxscores/201312270BRK.html
2013-12-28,2014,29,19.022,17,18,-22,31.167,1,3,6,0.5,0,1,0.0,0,0,0.0,4,1,5,4,4,2,4,1,6,9.9,-26,https://www.basketball-reference.com/boxscores/201312280MIL.html
2013-12-31,2014,30,19.025,17,14,15,37.5,0,3,7,0.429,0,0,0.0,2,2,1.0,4,7,11,1,0,0,1,3,8,7.7,25,https://www.basketball-reference.com/boxscores/201312310LAL.html
2014-01-02,2014,31,19.027,17,29,-9,33.65,0,3,6,0.5,1,2,0.5,3,4,0.75,1,6,7,5,0,1,2,4,10,9.7,1,https://www.basketball-reference.com/boxscores/201401020UTA.html
2014-01-04,2014,32,19.029,17,24,-16,13.567,0,0,2,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,4,3,0,-5.7,-18,https://www.basketball-reference.com/boxscores/201401040PHO.html
2014-01-07,2014,33,19.032,17,10,-21,24.467,1,1,3,0.333,0,0,0.0,0,0,0.0,0,5,5,5,2,0,1,3,2,5.1,-20,https://www.basketball-reference.com/boxscores/201401070MIL.html
2014-01-10,2014,34,19.035,17,5,-9,11.7,1,0,5,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,3,3,0,-6.7,-5,https://www.basketball-reference.com/boxscores/201401100MIL.html
2014-01-11,2014,35,19.036,17,21,-16,38.15,0,5,12,0.417,0,3,0.0,3,4,0.75,4,7,11,5,2,2,4,2,13,13.2,-10,https://www.basketball-reference.com/boxscores/201401110OKC.html
2014-01-13,2014,36,19.038,17,28,-22,32.983,0,5,10,0.5,0,1,0.0,1,4,0.25,3,4,7,4,2,1,4,5,11,7.6,-13,https://www.basketball-reference.com/boxscores/201401130TOR.html
2014-01-15,2014,37,19.04,17,15,-5,22.3,1,2,4,0.5,0,2,0.0,2,2,1.0,0,1,1,1,0,0,2,4,6,1.4,6,https://www.basketball-reference.com/boxscores/201401150MIL.html
2014-01-18,2014,38,19.043,17,11,-10,21.267,0,4,10,0.4,2,4,0.5,0,0,0.0,0,4,4,3,1,1,3,4,10,5.0,-5,https://www.basketball-reference.com/boxscores/201401180HOU.html
2014-01-19,2014,39,19.044,17,27,-28,30.083,0,4,10,0.4,3,6,0.5,0,0,0.0,1,3,4,1,0,0,2,2,11,5.1,-19,https://www.basketball-reference.com/boxscores/201401190SAS.html
2014-01-22,2014,40,19.047,17,9,3,25.7,1,1,3,0.333,0,2,0.0,2,2,1.0,0,5,5,3,1,1,2,1,4,5.2,-18,https://www.basketball-reference.com/boxscores/201401220MIL.html
2014-01-24,2014,41,19.049,17,6,-15,26.383,0,3,5,0.6,2,3,0.667,2,2,1.0,1,6,7,2,1,2,3,2,10,10.2,-1,https://www.basketball-reference.com/boxscores/201401240CLE.html
2014-01-25,2014,42,19.05,17,1,-25,25.35,1,2,6,0.333,0,2,0.0,1,2,0.5,0,2,2,2,1,1,4,5,5,-1.1,3,https://www.basketball-reference.com/boxscores/201401250MIL.html
2014-01-27,2014,43,19.052,17,13,-28,37.1,1,3,7,0.429,0,1,0.0,2,4,0.5,1,6,7,3,0,1,1,4,8,6.2,-27,https://www.basketball-reference.com/boxscores/201401270MIL.html
2014-01-29,2014,44,19.054,17,24,-9,25.133,1,2,7,0.286,0,0,0.0,2,2,1.0,0,2,2,4,1,0,0,4,6,4.7,-16,https://www.basketball-reference.com/boxscores/201401290MIL.html
2014-01-31,2014,45,19.056,17,22,-11,28.817,0,4,7,0.571,2,4,0.5,5,9,0.556,1,6,7,3,1,0,2,1,15,13.3,-5,https://www.basketball-reference.com/boxscores/201401310ORL.html
2014-02-01,2014,46,19.057,17,15,-9,20.417,0,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,1,1,0,2,1,3,0.6,2,https://www.basketball-reference.com/boxscores/201402010MEM.html
2014-02-03,2014,47,19.059,17,20,3,28.45,1,5,9,0.556,0,0,0.0,5,8,0.625,1,2,3,2,1,0,1,3,15,11.0,-9,https://www.basketball-reference.com/boxscores/201402030MIL.html
2014-02-05,2014,48,19.061,17,8,-10,33.133,0,1,4,0.25,0,1,0.0,3,6,0.5,0,4,4,1,1,1,4,4,5,-0.6,-1,https://www.basketball-reference.com/boxscores/201402050DEN.html
2014-02-08,2014,49,19.064,17,11,-6,24.933,1,0,8,0.0,0,1,0.0,1,2,0.5,1,4,5,0,1,1,1,2,1,-3.2,-10,https://www.basketball-reference.com/boxscores/201402080MIL.html
2014-02-10,2014,50,19.066,17,2,-16,26.217,1,1,5,0.2,1,2,0.5,1,2,0.5,0,4,4,0,0,0,1,1,4,0.3,-20,https://www.basketball-reference.com/boxscores/201402100MIL.html
2014-02-12,2014,51,19.068,17,19,-4,20.05,1,1,3,0.333,0,0,0.0,1,2,0.5,0,3,3,1,1,1,2,1,3,1.8,4,https://www.basketball-reference.com/boxscores/201402120MIL.html
2014-02-18,2014,52,19.074,17,22,4,26.783,1,2,3,0.667,1,1,1.0,3,6,0.5,2,6,8,4,2,1,0,2,8,13.4,16,https://www.basketball-reference.com/boxscores/201402180MIL.html
2014-02-20,2014,53,19.076,17,8,-11,32.333,1,3,7,0.429,1,3,0.333,4,5,0.8,3,1,4,4,2,3,0,1,11,15.8,4,https://www.basketball-reference.com/boxscores/201402200MIL.html
2014-02-22,2014,54,19.078,17,12,-10,24.283,1,2,6,0.333,0,2,0.0,4,4,1.0,2,4,6,1,1,0,1,3,8,6.7,2,https://www.basketball-reference.com/boxscores/201402220MIL.html
2014-02-24,2014,55,19.08,17,23,20,29.067,0,5,8,0.625,1,2,0.5,2,2,1.0,4,2,6,4,0,4,5,4,13,11.8,12,https://www.basketball-reference.com/boxscores/201402240PHI.html
2014-02-27,2014,56,19.083,17,12,-5,21.317,0,2,4,0.5,1,1,1.0,0,0,0.0,0,3,3,3,1,0,2,1,5,4.6,-4,https://www.basketball-reference.com/boxscores/201402270IND.html
2014-03-01,2014,57,19.085,17,3,-9,27.5,1,3,7,0.429,1,2,0.5,5,9,0.556,1,2,3,3,3,1,2,1,12,11.4,-1,https://www.basketball-reference.com/boxscores/201403010MIL.html
2014-03-03,2014,58,19.087,17,29,26,26.65,1,3,9,0.333,1,3,0.333,1,1,1.0,1,3,4,3,0,1,0,1,8,6.9,7,https://www.basketball-reference.com/boxscores/201403030MIL.html
2014-03-05,2014,59,19.089,17,26,-14,17.717,1,2,5,0.4,1,3,0.333,0,0,0.0,0,1,1,3,0,1,0,4,5,3.8,-2,https://www.basketball-reference.com/boxscores/201403050MIL.html
2014-03-07,2014,60,19.091,17,19,-8,20.417,0,1,5,0.2,0,3,0.0,0,0,0.0,0,4,4,3,0,0,1,1,2,0.8,-13,https://www.basketball-reference.com/boxscores/201403070NOP.html
2014-03-08,2014,61,19.092,17,30,-7,21.85,1,1,4,0.25,0,1,0.0,2,2,1.0,1,1,2,1,0,0,2,1,4,0.9,-11,https://www.basketball-reference.com/boxscores/201403080MIL.html
2014-03-10,2014,62,19.094,17,22,7,27.767,1,2,4,0.5,1,2,0.5,1,2,0.5,0,4,4,1,0,2,2,2,6,4.1,4,https://www.basketball-reference.com/boxscores/201403100MIL.html
2014-03-11,2014,63,19.095,17,18,-11,22.0,0,0,5,0.0,0,1,0.0,4,4,1.0,1,4,5,4,0,0,2,2,4,2.4,4,https://www.basketball-reference.com/boxscores/201403110MIN.html
2014-03-13,2014,64,19.097,17,1,-5,25.767,0,1,4,0.25,1,4,0.25,2,4,0.5,1,3,4,5,1,0,0,1,5,7.5,0,https://www.basketball-reference.com/boxscores/201403130ATL.html
2014-03-15,2014,65,19.099,17,20,-21,26.55,0,2,5,0.4,1,1,1.0,2,2,1.0,2,1,3,1,2,1,0,4,7,7.8,-6,https://www.basketball-reference.com/boxscores/201403150NYK.html
2014-03-16,2014,66,19.1,17,-1,-9,21.933,1,0,4,0.0,0,1,0.0,2,2,1.0,0,3,3,1,2,2,2,2,2,1.4,8,https://www.basketball-reference.com/boxscores/201403160MIL.html
2014-03-18,2014,67,19.102,17,25,-5,19.6,0,2,6,0.333,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,2,4,-0.6,-7,https://www.basketball-reference.com/boxscores/201403180POR.html
2014-03-20,2014,68,19.104,17,10,-5,30.5,0,3,6,0.5,0,2,0.0,5,6,0.833,0,8,8,4,1,0,1,1,11,12.4,-4,https://www.basketball-reference.com/boxscores/201403200GSW.html
2014-03-23,2014,69,19.107,17,26,-17,22.917,0,3,7,0.429,1,2,0.5,2,2,1.0,1,5,6,2,0,0,2,4,9,5.3,-3,https://www.basketball-reference.com/boxscores/201403230SAC.html
2014-03-24,2014,70,19.108,17,13,-8,28.067,0,4,4,1.0,0,0,0.0,1,3,0.333,1,2,3,1,0,1,0,4,9,8.1,-2,https://www.basketball-reference.com/boxscores/201403240LAC.html
2014-03-27,2014,71,19.111,17,14,3,25.233,1,4,6,0.667,1,1,1.0,1,2,0.5,2,5,7,0,3,1,5,3,10,7.4,11,https://www.basketball-reference.com/boxscores/201403270MIL.html
2014-03-29,2014,72,19.113,17,16,-21,21.667,1,0,5,0.0,0,1,0.0,1,2,0.5,1,3,4,2,0,1,2,2,1,-2.0,-12,https://www.basketball-reference.com/boxscores/201403290MIL.html
2014-03-31,2014,73,19.115,17,9,-5,30.467,0,4,6,0.667,2,2,1.0,4,5,0.8,0,5,5,2,1,1,1,0,14,14.6,15,https://www.basketball-reference.com/boxscores/201403310DET.html
2014-04-02,2014,74,19.117,17,16,-19,21.75,0,2,5,0.4,1,1,1.0,0,0,0.0,1,1,2,1,0,1,1,1,5,3.3,-6,https://www.basketball-reference.com/boxscores/201404020MIA.html
2014-04-04,2014,75,19.119,17,5,-12,32.8,0,1,6,0.167,0,0,0.0,2,4,0.5,1,2,3,5,3,2,3,6,4,3.2,-2,https://www.basketball-reference.com/boxscores/201404040CHI.html
2014-04-05,2014,76,19.12,17,28,-4,24.817,1,1,6,0.167,0,1,0.0,2,2,1.0,1,3,4,2,0,0,1,1,4,1.8,-4,https://www.basketball-reference.com/boxscores/201404050MIL.html
2014-04-09,2014,77,19.124,17,12,-2,21.317,1,1,4,0.25,0,1,0.0,0,0,0.0,0,3,3,1,1,0,2,2,2,-0.6,-10,https://www.basketball-reference.com/boxscores/201404090MIL.html
2014-04-11,2014,78,19.126,17,6,3,19.55,1,0,3,0.0,0,1,0.0,3,6,0.5,0,3,3,0,0,2,0,0,3,2.0,5,https://www.basketball-reference.com/boxscores/201404110MIL.html
2014-04-12,2014,79,19.127,17,30,-13,43.117,0,3,5,0.6,1,1,1.0,1,4,0.25,2,6,8,2,3,1,4,1,8,8.4,-12,https://www.basketball-reference.com/boxscores/201404120WAS.html
2014-04-14,2014,80,19.129,17,28,-10,23.533,0,1,3,0.333,1,1,1.0,2,2,1.0,0,4,4,3,1,0,1,1,5,6.2,1,https://www.basketball-reference.com/boxscores/201404140TOR.html
2014-04-16,2014,81,19.131,17,1,-8,26.25,1,4,6,0.667,2,3,0.667,0,0,0.0,1,4,5,3,0,1,1,5,10,9.1,4,https://www.basketball-reference.com/boxscores/201404160MIL.html
2014-10-29,2015,0,19.327,17,4,-2,24.0,0,3,6,0.5,1,1,1.0,3,3,1.0,0,5,5,1,0,1,0,1,10,9.5,4,https://www.basketball-reference.com/boxscores/201410290CHO.html
2014-10-31,2015,1,19.329,17,23,12,25.883,1,4,8,0.5,0,0,0.0,0,0,0.0,1,5,6,2,0,1,4,3,8,3.1,-9,https://www.basketball-reference.com/boxscores/201410310MIL.html
2014-11-01,2015,2,19.33,17,30,-11,12.7,0,2,3,0.667,0,1,0.0,0,1,0.0,0,3,3,1,1,1,3,1,4,2.2,-3,https://www.basketball-reference.com/boxscores/201411010WAS.html
2014-11-04,2015,3,19.333,17,12,6,17.25,0,4,7,0.571,1,2,0.5,2,2,1.0,1,2,3,1,0,0,2,2,11,6.9,5,https://www.basketball-reference.com/boxscores/201411040IND.html
2014-11-05,2015,4,19.334,17,5,-9,26.933,1,6,11,0.545,0,1,0.0,1,2,0.5,2,6,8,1,0,0,0,2,13,10.4,7,https://www.basketball-reference.com/boxscores/201411050MIL.html
2014-11-07,2015,5,19.336,17,9,-3,27.167,0,3,8,0.375,0,0,0.0,3,4,0.75,0,5,5,1,0,0,1,0,9,5.4,2,https://www.basketball-reference.com/boxscores/201411070DET.html
2014-11-08,2015,6,19.337,17,15,1,30.05,1,6,11,0.545,0,1,0.0,6,7,0.857,0,2,2,2,0,1,0,3,18,13.8,-5,https://www.basketball-reference.com/boxscores/201411080MIL.html
2014-11-11,2015,7,19.34,17,21,7,25.667,1,6,13,0.462,0,0,0.0,2,4,0.5,2,7,9,1,0,2,1,2,14,10.3,10,https://www.basketball-reference.com/boxscores/201411110MIL.html
2014-11-14,2015,8,19.343,17,22,-16,30.867,0,9,15,0.6,0,2,0.0,1,1,1.0,3,4,7,1,1,0,0,2,19,16.3,-10,https://www.basketball-reference.com/boxscores/201411140ORL.html
2014-11-16,2015,9,19.345,17,16,7,32.4,0,4,8,0.5,0,0,0.0,3,7,0.429,1,6,7,3,2,0,5,3,11,5.8,9,https://www.basketball-reference.com/boxscores/201411160MIA.html
2014-11-18,2015,10,19.347,17,20,4,17.883,1,3,6,0.5,0,0,0.0,7,7,1.0,3,3,6,0,0,0,1,3,13,10.8,-11,https://www.basketball-reference.com/boxscores/201411180MIL.html
2014-11-19,2015,11,19.348,17,3,4,47.917,0,7,11,0.636,0,1,0.0,4,8,0.5,1,11,12,4,3,0,2,4,18,17.7,5,https://www.basketball-reference.com/boxscores/201411190BRK.html
2014-11-21,2015,12,19.35,17,28,-42,15.033,0,1,4,0.25,0,0,0.0,5,7,0.714,0,2,2,2,1,0,1,2,7,5.0,-9,https://www.basketball-reference.com/boxscores/201411210TOR.html
2014-11-22,2015,13,19.351,17,30,-11,35.8,1,6,11,0.545,0,0,0.0,8,8,1.0,0,4,4,5,3,0,2,2,20,19.6,-10,https://www.basketball-reference.com/boxscores/201411220MIL.html
2014-11-25,2015,14,19.354,17,9,12,30.5,1,1,13,0.077,0,2,0.0,0,0,0.0,1,3,4,2,2,0,3,4,2,-6.3,2,https://www.basketball-reference.com/boxscores/201411250MIL.html
2014-11-26,2015,15,19.355,17,18,17,26.067,0,6,12,0.5,0,1,0.0,1,2,0.5,3,5,8,4,0,0,1,3,13,10.8,10,https://www.basketball-reference.com/boxscores/201411260MIN.html
2014-11-28,2015,16,19.357,17,9,16,26.767,0,3,7,0.429,0,0,0.0,1,3,0.333,0,9,9,2,0,2,3,3,7,3.8,-1,https://www.basketball-reference.com/boxscores/201411280DET.html
2014-11-29,2015,17,19.358,17,11,-14,34.7,1,7,12,0.583,0,1,0.0,3,3,1.0,2,5,7,2,0,2,0,3,17,15.9,-6,https://www.basketball-reference.com/boxscores/201411290MIL.html
2014-12-02,2015,18,19.361,17,6,-3,25.383,0,6,14,0.429,0,0,0.0,2,2,1.0,2,3,5,4,0,0,2,5,14,7.7,-6,https://www.basketball-reference.com/boxscores/201412020CLE.html
2014-12-03,2015,19,19.362,17,7,-2,18.383,1,1,4,0.25,0,0,0.0,1,2,0.5,0,5,5,5,0,0,2,2,3,2.4,0,https://www.basketball-reference.com/boxscores/201412030MIL.html
2014-12-05,2015,20,19.364,17,16,24,31.583,1,3,8,0.375,0,0,0.0,8,11,0.727,3,4,7,0,0,2,1,2,14,11.3,10,https://www.basketball-reference.com/boxscores/201412050MIL.html
2014-12-07,2015,21,20.001,17,7,-23,29.833,0,8,11,0.727,0,0,0.0,2,3,0.667,1,3,4,1,1,1,1,2,18,15.3,-10,https://www.basketball-reference.com/boxscores/201412070DAL.html
2014-12-09,2015,22,20.003,17,21,-13,26.417,0,4,11,0.364,1,2,0.5,8,11,0.727,3,4,7,0,0,2,1,3,17,12.2,-11,https://www.basketball-reference.com/boxscores/201412090OKC.html
2014-12-13,2015,23,20.007,17,13,5,31.333,1,8,11,0.727,0,0,0.0,4,5,0.8,0,5,5,3,2,1,4,1,20,17.0,-12,https://www.basketball-reference.com/boxscores/201412130MIL.html
2014-12-15,2015,24,20.009,17,24,2,23.6,0,2,7,0.286,0,0,0.0,2,3,0.667,1,7,8,0,0,0,2,4,6,0.7,-9,https://www.basketball-reference.com/boxscores/201412150PHO.html
2014-12-17,2015,25,20.011,17,25,-7,17.833,0,4,7,0.571,0,0,0.0,2,2,1.0,0,6,6,0,1,0,0,1,10,9.1,-3,https://www.basketball-reference.com/boxscores/201412170POR.html
2014-12-18,2015,26,20.012,17,26,1,36.95,0,4,5,0.8,0,0,0.0,3,4,0.75,2,1,3,3,1,1,3,3,11,10.0,-10,https://www.basketball-reference.com/boxscores/201412180SAC.html
2014-12-20,2015,27,20.014,17,13,-4,37.7,0,8,12,0.667,0,1,0.0,2,3,0.667,1,8,9,6,2,0,3,3,18,17.5,-12,https://www.basketball-reference.com/boxscores/201412200LAC.html
2014-12-23,2015,28,20.017,17,4,-7,34.533,1,3,4,0.75,0,0,0.0,5,6,0.833,1,5,6,2,2,2,3,4,11,11.4,-6,https://www.basketball-reference.com/boxscores/201412230MIL.html
2014-12-26,2015,29,20.02,17,1,30,29.9,0,2,10,0.2,0,1,0.0,3,4,0.75,0,5,5,5,0,2,3,2,7,3.0,12,https://www.basketball-reference.com/boxscores/201412260ATL.html
2014-12-27,2015,30,20.021,17,1,-5,19.1,1,2,5,0.4,0,0,0.0,1,2,0.5,3,2,5,0,0,2,4,4,5,0.4,-29,https://www.basketball-reference.com/boxscores/201412270MIL.html
2014-12-29,2015,31,20.023,17,4,10,35.133,0,7,8,0.875,0,0,0.0,2,3,0.667,0,8,8,4,0,3,1,2,16,18.3,1,https://www.basketball-reference.com/boxscores/201412290CHO.html
2014-12-31,2015,32,20.025,17,6,16,29.683,0,5,11,0.455,1,3,0.333,3,4,0.75,0,8,8,5,1,3,3,1,14,13.5,16,https://www.basketball-reference.com/boxscores/201412310CLE.html
2015-01-02,2015,33,20.027,17,12,-3,32.75,1,2,8,0.25,0,2,0.0,2,2,1.0,1,3,4,0,0,4,2,5,6,1.6,-2,https://www.basketball-reference.com/boxscores/201501020MIL.html
2015-01-04,2015,34,20.029,17,20,13,29.667,0,6,9,0.667,1,1,1.0,3,6,0.5,5,7,12,2,1,2,4,4,16,14.7,7,https://www.basketball-reference.com/boxscores/201501040NYK.html
2015-01-06,2015,35,20.031,17,24,-6,34.2,1,7,13,0.538,0,2,0.0,2,2,1.0,3,9,12,2,0,1,1,3,16,14.4,3,https://www.basketball-reference.com/boxscores/201501060MIL.html
2015-01-07,2015,36,20.032,17,23,20,15.35,0,3,9,0.333,0,0,0.0,1,2,0.5,1,2,3,2,1,0,1,1,7,3.8,9,https://www.basketball-reference.com/boxscores/201501070PHI.html
2015-01-09,2015,37,20.034,17,18,14,28.733,1,5,9,0.556,0,0,0.0,0,0,0.0,1,6,7,1,1,1,4,4,10,5.0,-1,https://www.basketball-reference.com/boxscores/201501090MIL.html
2015-01-10,2015,38,20.035,17,5,-8,26.2,0,2,6,0.333,0,0,0.0,0,1,0.0,1,5,6,2,1,1,2,5,4,1.5,0,https://www.basketball-reference.com/boxscores/201501100CHI.html
2015-01-15,2015,39,20.04,17,20,16,32.9,1,6,10,0.6,0,0,0.0,4,5,0.8,1,4,5,0,2,0,2,4,16,11.3,13,https://www.basketball-reference.com/boxscores/201501150MIL.html
2015-01-19,2015,40,20.044,17,28,-3,32.883,1,3,8,0.375,0,0,0.0,0,0,0.0,0,3,3,5,3,1,1,0,6,8.7,3,https://www.basketball-reference.com/boxscores/201501190MIL.html
2015-01-22,2015,41,20.047,17,29,-2,28.133,1,5,10,0.5,0,2,0.0,3,3,1.0,1,5,6,3,5,0,2,4,13,13.7,1,https://www.basketball-reference.com/boxscores/201501220MIL.html
2015-01-24,2015,42,20.049,17,9,15,36.283,1,3,9,0.333,0,0,0.0,0,2,0.0,0,5,5,4,0,2,7,4,6,-2.8,-9,https://www.basketball-reference.com/boxscores/201501240MIL.html
2015-01-25,2015,43,20.05,17,27,-6,33.25,0,2,5,0.4,0,0,0.0,0,0,0.0,1,6,7,5,2,0,2,4,4,5.7,1,https://www.basketball-reference.com/boxscores/201501250SAS.html
2015-01-27,2015,44,20.052,17,16,7,39.783,0,4,6,0.667,0,0,0.0,5,6,0.833,0,6,6,4,0,1,1,4,13,12.7,9,https://www.basketball-reference.com/boxscores/201501270MIA.html
2015-01-29,2015,45,20.054,17,22,15,33.083,0,3,7,0.429,0,0,0.0,4,5,0.8,1,3,4,5,1,3,0,4,10,12.5,19,https://www.basketball-reference.com/boxscores/201501290ORL.html
2015-01-31,2015,46,20.056,17,25,7,33.15,1,3,5,0.6,0,0,0.0,4,4,1.0,1,9,10,1,3,1,3,4,10,10.9,6,https://www.basketball-reference.com/boxscores/201501310MIL.html
2015-02-02,2015,47,20.058,17,28,7,34.85,0,4,9,0.444,0,1,0.0,4,8,0.5,2,10,12,3,0,2,0,4,12,12.0,14,https://www.basketball-reference.com/boxscores/201502020TOR.html
2015-02-04,2015,48,20.06,17,14,8,42.333,1,10,14,0.714,0,0,0.0,5,5,1.0,0,6,6,1,1,2,3,5,25,19.1,10,https://www.basketball-reference.com/boxscores/201502040MIL.html
2015-02-06,2015,49,20.062,17,11,-6,34.717,0,11,16,0.688,0,0,0.0,5,6,0.833,3,12,15,4,0,1,3,4,27,24.4,-9,https://www.basketball-reference.com/boxscores/201502060HOU.html
2015-02-07,2015,50,20.063,17,2,3,37.067,1,6,10,0.6,0,0,0.0,2,4,0.5,3,8,11,5,1,2,3,3,14,14.8,6,https://www.basketball-reference.com/boxscores/201502070MIL.html
